0,1,2,3,4,5,6
0.6240682165816591,-0.4520987278486253,0.08523292114447686,-0.11102566957029364,-0.04952440896294369,0.28176394349409745,-0.01099187500979508
-0.8139572471171456,-0.5235543637733022,-0.0024317013757527567,0.12399551156131772,0.1197860837851765,0.031758547583006995,0.23687012171442723
0.8035986449553416,0.1504103853156922,-0.3554104038455754,-0.16400651273796021,0.49002473722083895,-0.2051718105062105,-0.19903179702780005
0.19663595316763485,-0.4004692081675343,0.7675967268568543,-0.8082071479318407,0.9650151738520201,-0.11557773565400534,-0.8795062386014232
0.01584147280486546,-0.6255361514372577,0.3038801317100717,0.27763348052727277,-0.1854734290566798,-0.12572441305869977,0.37484684139236585
-0.2504851103779594,-0.006315508469541875,-0.09387972985525378,0.49842819289506557,-0.18644890271252673,0.018470687110424145,0.6951726862196432
-0.9414072242149246,-0.12425795951607319,-0.871000836519968,-0.684227531985749,0.60852172268777,0.12286485417976037,0.6694556671310632
-0.046877870265294774,0.1925362564941855,-0.26679959098540296,-0.2344357392201585,-0.024675753786048242,0.07642659004022247,0.7677520524061682
-0.04330172897000853,0.13702012959783402,-0.08562068988457536,0.05415025799960792,-0.43626039424956903,0.41256676838020545,-0.27881757803296314
-0.003901811861926105,-0.07850577498473595,0.33694249514066876,0.17631782438498353,-0.06477098121916153,0.11248145132440406,0.2830751472242952
0.31474045839106607,0.19271806363824692,0.38491100903372905,0.5710173204999798,0.2281944726314819,-0.4984813949910225,0.8581394375127624
0.8666899914483971,-0.1452478982443007,-0.25205205245334567,-0.7609926603546203,0.3653054206814108,-0.3793003270925976,0.8100698558408093
-0.8940293372327683,0.007159575194430383,0.23472852974002759,-0.15336816307464984,-0.26338929773006514,0.10413640192843572,-0.22377980308983728
-0.07760365599697833,-0.0389864913981976,-0.14539064195066226,-0.10811145111951857,0.42610317535623804,-0.1278236379156833,-0.053643783692457744
-0.2699039459882008,0.3336652529713583,-0.47059400782855415,0.34330030229209774,-1.1710243412948325,-0.3108495465121641,-0.5171437048822979
